id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_479,"Açaí Sorbet Guaraná 'Energy Blend' 900ml","Sorbete de Açaí con Guaraná 'Energy Blend' 
 
Ingredientes: 
 
 
 
 
Açai pulp (59 %), agua, azúcar, concentrado de guaraná (2 %), emulsionante: E415 y E472b, estabilizador E412, aroma, regulador de acidez E330, colorante alimenticio E162, sal. 
 
 
 
 
Alérgenos: 
 
Puede contener trazas de leche, cacahuete y almendra. 
 
Características nutricionales: 
 
  Energía: 445kj / 105 kcal 
  Grasas: 1,5g 
  De la cuales saturadas: 0,4g 
  Carbohidratos: 22g 
  De los cuales azúcares: 20g 
  Fibra: 0,7g 
  Proteína: 0,4g 
  Sal: 0,03g",https://fullgracefoods.com/wp-content/uploads/2020/04/900ml_Guarana-scaled.jpg,https://fullgracefoods.com/producto/acai-sorbet-900ml-guarana-energy-blend/,"Frozen Exotic Fruits","Full Grace Foods",14.99EUR,in stock,wc_post_id_479,https://fullgracefoods.com/carrito/?add-to-cart=479,"https://fullgracefoods.com/wp-content/uploads/2020/04/1.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/4.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,14.99EUR,new,published,,
wc_post_id_459,"Coconut Milk (Cuisine) 'Aroy-D' brick 1 Litro","Información nutricional por 100 gr 
 
 
  Calorías 182,6 Kcal 
  Proteínas 1,6 gr 
  Hidratos de carbono 2 gr 
  De los cuales azúcares 2 gr 
  Grasas totales 19 gr 
  De las cuales saturadas17 gr 
  Sal 0,05gr 
 
 
 
Ingredientes: Extracto de coco y agua 
 
Embalaje: caja de 12 bricks de 1 litro",https://fullgracefoods.com/wp-content/uploads/2020/04/Coconut-Milk-Aroy-D-1-Litro.png,https://fullgracefoods.com/producto/coconut-milk-aroy-d-1-litro/,"Milk 'Not Milk'","Full Grace Foods",3.99EUR,in stock,wc_post_id_459,https://fullgracefoods.com/carrito/?add-to-cart=459,"https://fullgracefoods.com/wp-content/uploads/2020/04/Foto-Categoría-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3.99EUR,new,published,,
wc_post_id_452,"Açaí  BIO Pure Pulp Premium 14% pack 4x100gr","Ingredientes: 
 
Açai 14% *, agua y menos de 0,2% ácido cítrico. 
 
Producto natural. Sin adición de conservantes, colorantes químicos o azúcar. 
 
Disponible en la versión pasteurizada con o sin ácido cítrico. 
 
 
 
Valores nutricionales /por 100g 
 
 
 
 
 
 
 
 
ENERGÍA 
419kJ/100 kcal 
 
 
LÍPIDOS 
8.6 g 
 
 
   -  DE LOS CUALES SATURADOS 
2.1 g 
 
 
HIDRATOS DE CARBONO 
4.1 g 
 
 
AZÚCAR 
0 g 
 
 
FIBRA 
3.4 g 
 
 
PROTEÍNA 
1.5 g 
 
 
SAL 
32 mg 
 
 
 
Bondades del producto: BIO, Sugar Free, Sin Gluten, Vegan, No GMO 
 
Embalajes: pack 4x100gr o caja de 16 packs de 4x100gr",https://fullgracefoods.com/wp-content/uploads/2020/04/Açaí2-scaled.jpg,https://fullgracefoods.com/producto/acai-pure-pulp-premium-14/,"Frozen Exotic Fruits","Full Grace Foods",8.99EUR,in stock,wc_post_id_452,https://fullgracefoods.com/carrito/?add-to-cart=452,"https://fullgracefoods.com/wp-content/uploads/2020/04/Smothie-Açaí-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,8.99EUR,new,published,,
wc_post_id_450,"Açaí Pure Pulp Nutricau 10% Caja 24x100gr","Ingredientes: 
 
Açai, agua y menos de 0,2% ácido cítrico. 
 
Producto natural. Sin adición de conservantes, colorantes químicos o azúcar. 
 
Disponible en la versión pasteurizada con o sin ácido cítrico. 
 
 
 
Valores nutricionales /por 100g 
 
 
 
 
 
 
 
 
ENERGÍA 
880kj / 210 kcal 
 
 
LÍPIDOS 
20 g 
 
 
   –  DE LOS CUALES SATURADOS 
8 g 
 
 
HIDRATOS DE CARBONO 
51 g 
 
 
PROTEÍNA 
6 g 
 
 
FIBRA 
13 g 
 
 
CALCIO 
35 Mg 
 
 
SAL 
5 mg 
 
 
 
Embalajes: caja de 24 tabletas de 100gr.",https://fullgracefoods.com/wp-content/uploads/2020/04/POLPA-DE-AÇAI-NUTRICAL-100g-scaled.jpg,https://fullgracefoods.com/producto/acai-pure-pulp-nutricau-10/,"Frozen Exotic Fruits","Full Grace Foods",24.99EUR,in stock,wc_post_id_450,https://fullgracefoods.com/carrito/?add-to-cart=450,"https://fullgracefoods.com/wp-content/uploads/2020/04/Açaí-Bowl-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,24.99EUR,new,published,,
wc_post_id_448,"Granola de Semillas 'Granoletta' 340gr","Información nutricional para 100 gr de producto: 
 
  Valor Energético: 1.677,4 Kj / 399,9 Kcal 
  Grasas totales: 23,6 gr 
  Saturadas: 10,4 gr 
  Carbohidratos totales: 35,7 gr 
  De los cuales, azúcares: 3,7 gr 
  Fibra: 8,9 gr 
  Proteínas: 12,2 gr 
  Sal: 0,01 gr 
 
DÍSFRUTALA CON TU SMOOTHIE BOWL!",https://fullgracefoods.com/wp-content/uploads/2020/04/frente-Semillas.jpg,https://fullgracefoods.com/producto/arroz-integral-categoria-extra-1kg/,"Handmade Granolas","Full Grace Foods",8.99EUR,in stock,wc_post_id_448,https://fullgracefoods.com/carrito/?add-to-cart=448,"https://fullgracefoods.com/wp-content/uploads/2020/04/contra-semillas.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/Granola-semillas-scaled.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/4.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,8.99EUR,new,published,,
wc_post_id_445,"Specialty Coffee 'La Llama' Roaster pack 1kg","¿Qué es el café de especialidad?… ¿será un café gourmet? ¿un café de un sólo origen? ¿el especial del día en una cafetería? ¿qué tiene de especial ese café? 
 
El café de especialidad para que pueda ser considerado  como tal, debe cumplir a grosso modo varias premisas: 
 
  Contener granos 100% de la variedad arábica 
  Solo recolectar las cerezas maduras 
  Tener una puntuación de más de  80/100 puntos de acuerdo a un sistema internacional para evaluación de calidad. Este puntaje lo otorga un Q Grader o catador certificado basándose en estándares  de la SCA (Specialty Coffee Association). 
 
Café de especialidad, especial desde la finca hasta la taza. 
 
Para llegar a esta ausencia de defectos hay un gran capital humano que aporta su trabajo.  Todo el proceso, desde la siembra hasta su recolección y almacenaje, implica por tanto, una elevada mano de obra  y mucho conocimiento. 
 
El grano debe recogerse en su punto óptimo de madurez.  Se recolecta manualmente, escogiendo únicamente las cerezas maduras y es secado con procesos tradicionales sin apurar el tiempo. 
 
Las fincas donde se siembra el café de especialidad son en su mayoría de pequeños productores, algunas veces organizados en cooperativas, lo que da por resultado un comercio más justo, ya que el productor recibe un mayor precio por un producto de mayor calidad. 
 
Posteriormente, cada café es tostado de acuerdo a un perfil que permita extraer las notas de ese café. Para eso, el tueste es menos intenso que el comercial. El tueste comercial es más acentuado.  Busca esconder los defectos de los granos quemando el café para que prevalezca el amargo. Sin embargo, el tostador de café de especialidad enfoca su tueste a realzar las notas y características únicas de cada grano de café.",https://fullgracefoods.com/wp-content/uploads/2020/04/Lallamaspecialtycoffee.jpeg,https://fullgracefoods.com/producto/specialty-coffee-la-llama-roaster/,"Specialty Coffee and Functional Lattes","Full Grace Foods",44.99EUR,in stock,wc_post_id_445,https://fullgracefoods.com/carrito/?add-to-cart=445,"https://fullgracefoods.com/wp-content/uploads/2020/02/juli.2017.07-5-of-6-683x1024-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,44.99EUR,new,published,,
wc_post_id_437,"FOCUS - Matcha Functional Blend pack 500gr","Impuestos incluidos. Los gastos de envío se calculan en la pasarela de pagos. 
 
Envío gratuito a partir de 50€ 
 
Matcha Functional Latte Blend 125 raciones! 
 
El matcha que proviene de las hojas pulverizadas del té verde, es una potente bebida 10 veces más poderosa que el té verde normal. El matcha tiene sobretodo propiedades antioxidantes superando a cualquier otra fruta que podamos nombrar. Además de esto, ayuda a combatir contra el cáncer, la diabetes y el colesterol. 
 
Ingredientes: 
 
  Azúcar de Coco (Indonesia) 
  Maca (Perú) 
  Matcha ceremonial (Japón) 
  Sal marina del mediterráneo (España) 
 
Notas de cata: finamente dulce y el inconfundible sabor a te matcha. 
 
Embalaje: pack 500gr (125 raciones)",https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Samurai-Matcha-35-scaled.jpg,https://fullgracefoods.com/producto/samurai-matcha-500gr/,"Specialty Coffee and Functional Lattes","Full Grace Foods",89.99EUR,in stock,wc_post_id_437,https://fullgracefoods.com/carrito/?add-to-cart=437,"https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Samurai-Matcha-36-scaled.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/5_1024x1024@2x.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,89.99EUR,new,published,,
wc_post_id_426,"ENERGY - Solstice Functional Blend 500gr","Impuestos incluidos. Los gastos de envío se calculan en la pasarela de pagos. 
 
Envío gratuito a partir de 50€ 
 
Pink Coconut Latte 125 raciones!  
 
Un impresionante shock energético con electrolitos hidratantes para prolongar la energía corporal en el tiempo. 
 
  Potentes antioxidantes ayudan a mejorar la resistencia 
  Reduce los dolores musculares 
  Acelera el metabolismo 
  Ayuda a reducir el colesterol 
  Promueve la salud cardíaca 
 
Especial para deportistas de alto rendimiento. Se ha demostrado que la remolacha aumenta la velocidad y ayuda a la resistencia, así como a reducir la inflamación. Este blend es muy popular entre los ciclistas del Tour de France. 
Ingredientes: 
 
  Leche de coco deshidratada (Sri Lanka) 
  Remolacha en polvo (Alemania) 
  Azúcar de coco (Indonesia) 
  Sal marina mediterránea (España) 
  Canela (Indonesia) 
  Jengibre (India) 
 
Notas de cata: finamente dulce y con toques a frutos rojos. 
 
Embalaje: pack 500gr (125 raciones)",https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Pink-Coconut-26-scaled.jpg,https://fullgracefoods.com/producto/pink-coconut-500gr/,"Specialty Coffee and Functional Lattes","Full Grace Foods",94.99EUR,in stock,wc_post_id_426,https://fullgracefoods.com/carrito/?add-to-cart=426,"https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Pink-Coconut-31-scaled.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Pink-Coconut-28-scaled.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/4_97512574-0be9-4ca9-9812-82e828cc033e_1024x1024@2x.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,94.99EUR,new,published,,
wc_post_id_419,"BLISS - Maca Choco Solstice Functional Blend 500gr","Impuestos incluidos. Los gastos de envío se calculan en la pasarela de pagos. 
 
Envío gratuito a partir de 50€ 
 
Maca Choco Latte Blend 80 raciones! 
 
  La Maca es beneficiosa para la circulación sanguínea 
  La canela es beneficiosa para la salud cardíaca 
  La maca es un poderoso super alimento que brinda energía natural al organismo 
 
Ingredientes: 
 
  Cacao en polvo (Costa Rica) 
  Maca en polvo (Perú) 
  Canela (Indonesia) 
  Azúcar de coco (Indonesia) 
  Sal marina mediterránea (España) 
 
Notas de cata: finamente dulce y notas de chocolate. 
 
Embalaje: 500 gr (80 raciones)",https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Libido-Choco-19-scaled.jpg,https://fullgracefoods.com/producto/maca-choco-500gr/,"Specialty Coffee and Functional Lattes","Full Grace Foods",55.99EUR,in stock,wc_post_id_419,https://fullgracefoods.com/carrito/?add-to-cart=419,"https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Libido-Choco-21-scaled.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Libido-Choco-20-scaled.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/6_1024x1024@2x.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55.99EUR,new,published,,
wc_post_id_412,"CALM - Golden Turmeric Solstice Functional Blend 500gr","Consejos de uso y aplicaciones: 
 
El Golden Chaii Latte  se puede disfrutar tanto frío como caliente. También se puede añadir a smoothies o combinaciones similares de bebidas. 
 
Preparación en caliente: 
Calentar 300 ml de bebida tipo “leche” vegetal junto a 1 cucharada sopera (aprox. 10 ml) del producto y remover hasta integrar perfectamente. Se puede añadir miel o stevia si se desea dar un extra de dulzor. 
 
Preparación en frío: 
Introducir 300 ml de bebida tipo “leche” vegetal junto a 1 cucharada sopera (aprox. 10 ml) del producto en un blender o batidora, añadir unos cubos de hielo y miel o stevia si se desea dar un extra de dulzor. Batir hasta tener una textura homogénea y disfrutar.",https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Golden-Turmeric-15-compressor-scaled.jpg,https://fullgracefoods.com/producto/golden-turmeric-500gr/,"Specialty Coffee and Functional Lattes","Full Grace Foods",79.99EUR,in stock,wc_post_id_412,https://fullgracefoods.com/carrito/?add-to-cart=412,"https://fullgracefoods.com/wp-content/uploads/2020/04/SB-Golden-Turmeric-16-compressor-1-scaled.jpg,https://fullgracefoods.com/wp-content/uploads/2020/04/2_1024x1024@2x.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,79.99EUR,new,published,,
